date,ride_id_count,distance_km_mean,month_sin,month_cos,day_of_week_sin,day_of_week_cos,wind_avg,percip_total,temp_min,temp_max
2023-08-25,109393,1.9206230179225467,-0.4999999999999998,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,2.1565156,0.44,20.555555555555554,25.555555555555554
2023-08-26,138131,2.098638462186141,-0.4999999999999998,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,4.3130312,0.52,22.777777777777775,28.888888888888886
2023-08-27,138294,2.095119122483514,-0.4999999999999998,-0.8660254037844388,-2.4492935982947064e-16,1.0,7.563898,0.0,21.11111111111111,28.888888888888886
2023-08-28,134207,1.9796661183147712,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,6.115492,0.0,20.555555555555554,24.444444444444443
2023-08-29,148387,2.0253454648280416,-0.4999999999999998,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,6.839695,0.0,20.0,26.666666666666664
2023-08-30,143290,1.9815696905644018,-0.4999999999999998,-0.8660254037844388,0.43388373911755823,-0.900968867902419,7.9179528,0.27,20.0,28.333333333333332
2023-08-31,151916,2.0007740685399447,-0.4999999999999998,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,11.8769292,0.0,17.77777777777778,25.0
2023-09-01,183426,2.011611115105922,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,7.1937498,0.0,16.11111111111111,24.444444444444443
2023-09-02,171056,2.1250585262119785,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,3.6049216000000004,0.0,16.666666666666664,26.11111111111111
2023-09-03,159985,2.0828444377417212,-0.8660254037844384,-0.5000000000000004,-2.4492935982947064e-16,1.0,6.485640200000001,0.0,20.0,31.11111111111111
2023-09-04,159118,2.009995572461759,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,2.8807186000000002,0.0,22.777777777777775,31.666666666666664
2023-09-05,191216,1.941546184630603,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,4.6831794,0.0,23.88888888888889,33.33333333333333
2023-09-06,202485,1.9135766256913609,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,3.9589764,0.0,25.0,33.888888888888886
2023-09-07,207649,1.9640012354223733,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,3.2347733999999995,0.0,24.444444444444443,33.888888888888886
2023-09-08,173459,1.8944321917205689,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,2.8807186000000002,0.1,21.666666666666664,32.22222222222222
2023-09-09,180433,2.0018727530521265,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,1.8024608000000002,0.02,21.11111111111111,28.888888888888886
2023-09-10,122706,1.9382755274032855,-0.8660254037844384,-0.5000000000000004,-2.4492935982947064e-16,1.0,3.9589764,1.8,20.555555555555554,25.0
2023-09-11,160434,1.8981245685203854,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,4.6831794,1.66,20.555555555555554,27.777777777777775
2023-09-12,223924,1.9978546645088076,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,1.4323126,0.0,20.0,27.777777777777775
